id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1208133,Santiago Arellano,Andrés,Mazatlán U20,-,,,-
1158646,Luciano,Fortunato,S. Vito Positano,-,,,-
1168183,Vitaly,Bondarev,Ural, ¬200k,,,30-Jun-26
1169503,Jun-seo,Shin,Gyeongnam,-,,,31-Dec-25
1210112,Si-hoo,Park,Chungnam Asan,-,,,-
945093,Haukur ,Óli Jónsson,Fjölnir,-,,,16-Nov-27
1263402,Xavier,Coleman,Miramar Rangers, ¬25k,,,31-Dec-25
1263736,Nicolas,Ball,Dominican Chargers,-,,,-
1169374,Baltic,Stefman,Beograd,-,,,-
1180664,Kristoffer Flo,Mørkved,Strindheim,-,,,-
967430,Marcos Octávio,Rodrigues Pereira,WisBoka Dbica,-,,,30-Jun-25
1050627,William,Puffette ,Tonbridge Angels U18,-,,,-
1126949,Hamad,Al Qweizani,Hajer,-,,,30-Jun-26
288813,Federico,Vega,,-,,,-
385136,Thomas,Can,,-,,,-
1032893,Kamil ,Boumedmed,Abha,-,Agent is known - Player under 18,,-
1010651,Maximiliano,Martinez,9 de Julio Rafaela,-,,,31-Dec-25
1179773,Shaun ,Saludez,PFF Youth National Team,-,,,-
1246969,Abdul Mumini,Salifu,Bechem United, ¬25k,,,-
868088,Diogo Azevedo, de Oliveira,Fast Clube,-,,,-
1081006,David,Felipe Raul,Uberaba,-,,,-
1290949,Sodiq Opeyemi,Kazeem,Pogradeci, ¬50k,,,-
1072597,Alejandro ,Ararat Diaz ,Atlético Huila, ¬250k,CSA  FOOTBALL GROUP,5933,31-Dec-27
694032,Guilherme,Esperancin,,-,,,-
1161386,Ibrahim Junior,Ouattara,Austria Lustenau, ¬150k,ELIFA,12353,30-Jun-27
1168681,Anthonin,Loriller,Rodez II,-,,,-
1168664,Alexis,Ortega,Rodez II,-,,,-
1179754,Michael ,Antilo,Tuloy, ¬25k,,,-
1168670,Arthur,Saintorens,Aviron Bayonnais FC,-,Global Compensation,4685,-
